Gene.ID	Gene.Name	g4_g3.log2foldchange	g4_g3.p-value	g2_g1.log2foldchange	g2_g1.p-value
ENSG00000001084	GCLC	0.228037342	0.266830617	-0.264509009	0.072945755
ENSG00000002549	LAP3	-0.100700996	0.370448842	-0.159433331	0.061291447
ENSG00000002834	LASP1	0.111114455	0.731937373	0.484482455	0.049071456
ENSG00000004142	POLDIP2	0.150372399	0.790424154	0.147520049	0.688925792
ENSG00000004660	CAMKK1	-0.692220682	0.06405641	0.347028025	0.097913651
ENSG00000004766	VPS50	0.134539137	0.415211998	-0.020575674	0.858832296
ENSG00000004779	NDUFAB1	-0.113561804	0.461405697	-0.544129335	0.003149633
ENSG00000004864	SLC25A13	-0.033627723	0.842928264	0.120026092	0.266198881
ENSG00000004939	SLC4A1	0.295485334	0.251221282	0.375676075	0.049469016
ENSG00000005007	UPF1	-0.104032884	0.512433855	0.114118914	0.289861132
ENSG00000005194	CIAPIN1	0.105027106	0.79582544	0.117060384	0.659205018
ENSG00000005810	MYCBP2	0.085499879	0.717639359	0.183085125	0.236295354
ENSG00000005882	PDK2	0.000885809	0.992930166	0.307080569	0.016180353
ENSG00000005893	LAMP2	0.099303861	0.33529669	0.079972324	0.248595858
ENSG00000006125	AP2B1	0.072184912	0.516257302	0.024443996	0.748839697
ENSG00000006282	SPATA20	0.07403439	0.64250189	0.561877443	0.002931447
ENSG00000006625	GGCT	0.145086215	0.291256964	-0.766135741	0.000634377
ENSG00000006740	ARHGAP44	-0.047981331	0.7721375	0.292588827	0.028849521
ENSG00000007168	PAFAH1B1	-0.107782485	0.325506095	-0.149730574	0.084535532
ENSG00000007237	GAS7	-0.090693726	0.410811478	0.492142873	0.001521954
ENSG00000007402	CACNA2D2	0.19493155	0.370553935	0.203381336	0.176785377
ENSG00000007923	DNAJC11	0.08860447	0.163020443	0.219818652	0.002118872
ENSG00000008056	SYN1	0.040856917	0.816527199	-0.060291218	0.5862535
ENSG00000008988	RPS20	-0.095658368	0.560840724	-0.098543235	0.372314562
ENSG00000009307	CSDE1	-0.076107801	0.430651437	0.204545064	0.018321328
ENSG00000009844	VTA1	0.051777251	0.531656356	0.054578318	0.326623311
ENSG00000010017	RANBP9	-0.030304629	0.790424154	-0.266885365	0.011147087
ENSG00000010256	UQCRC1	0.062602745	0.774419702	0.393572173	0.026645767
ENSG00000010278	CD9	-0.070003181	0.703135704	-0.616567572	0.003075729
ENSG00000011021	CLCN6	0.254294856	0.316052101	0.431366831	0.032793379
ENSG00000011295	TTC19	-0.016363257	0.933369585	0.624799906	0.017094801
ENSG00000011347	SYT7	-0.155286718	0.21565209	0.15289122	0.078056176
ENSG00000011376	LARS2	0.057472493	0.696620182	0.261244428	0.025954688
ENSG00000011426	ANLN	-0.089265782	0.449764887	-1.201837828	9.52E-05
ENSG00000011485	PPP5C	0.271232031	0.050719281	-0.196143009	0.018899572
ENSG00000011677	GABRA3	0.267343177	0.745159246	0.15811627	0.769007786
ENSG00000012822	CALCOCO1	0.226360385	0.699402353	0.624973008	0.158271636
ENSG00000013016	EHD3	0.123636238	0.676572578	0.226533564	0.24038453
ENSG00000013297	CLDN11	0.486293639	0.558195862	-0.528657036	0.344518012
ENSG00000013364	MVP	0.098690318	0.24203493	-0.241797483	0.005481735
ENSG00000013583	HEBP1	0.162231495	0.560840724	0.088761881	0.623338925
ENSG00000014123	UFL1	0.230360554	0.533145322	0.06230947	0.803824861
ENSG00000014216	CAPN1	-0.11526148	0.348689529	-0.024458307	0.769007786
ENSG00000014641	MDH1	0.077553177	0.3221219	-0.007948276	0.880954915
ENSG00000014824	SLC30A9	0.043260679	0.925573274	0.48718534	0.097992368
ENSG00000014919	COX15	-0.071647464	0.664548587	-0.046274793	0.669097052
ENSG00000015475	BID	0.204352217	0.114069882	-0.152558294	0.067275347
ENSG00000017797	RALBP1	0.607205761	0.514804834	0.026658861	0.968207361
ENSG00000018189	RUFY3	0.168090737	0.082043069	0.085624082	0.120001694
