"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","CONTAMINANT_A2A4G1","axillary metastatic lymph nodes tissues-adjacent breast tissues",0.185680032259065,0.567871325921516,0.326975537913896,13,0.748891416691363,0.812649465646995,NA,0.733333333333333,0
"2","CONTAMINANT_A2A4G1","non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues",-0.898514282078684,0.751223152536419,-1.19606841062466,13,0.253030196227703,0.351387113908396,NA,0.766666666666667,0
"3","CONTAMINANT_A2A4G1","primary breast tumor tissues-non-tumor contralateral breast tissues",1.49150080292584,0.737686491493178,2.02186270200887,13,0.0642702543644913,0.122833555272302,NA,0.769230769230769,0
"4","CONTAMINANT_A2A4G1","adjacent breast tissues-primary breast tumor tissues",-0.778666553106222,0.549839047020689,-1.41617180032127,13,0.180237740651393,0.277010864971799,NA,0.743589743589744,0
"5","CONTAMINANT_A2I7N0;CONTAMINANT_A2I7N1","axillary metastatic lymph nodes tissues-adjacent breast tissues",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.8,0
"6","CONTAMINANT_A2I7N0;CONTAMINANT_A2I7N1","non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.9,0
"7","CONTAMINANT_A2I7N0;CONTAMINANT_A2I7N1","primary breast tumor tissues-non-tumor contralateral breast tissues",-1.70694614268426,2.29394474705293,-0.744109527867749,9,0.475788264267814,0.57841279890329,NA,0.846153846153846,0
"8","CONTAMINANT_A2I7N0;CONTAMINANT_A2I7N1","adjacent breast tissues-primary breast tumor tissues",0.540841354482085,1.98661442582571,0.272242739935452,9,0.791578076597915,0.847965199300356,NA,0.769230769230769,0
"9","CONTAMINANT_ENSEMBL:ENSBTAP00000024146","axillary metastatic lymph nodes tissues-adjacent breast tissues",-0.758209321857012,0.887236993605407,-0.85457361147209,25,0.400902605598637,0.50322571626025,NA,0.566666666666667,0
"10","CONTAMINANT_ENSEMBL:ENSBTAP00000024146","non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues",0.764720147651877,0.868071947843604,0.880940974479748,25,0.386740741497861,0.490446879481669,NA,0.533333333333333,0
"11","CONTAMINANT_ENSEMBL:ENSBTAP00000024146","primary breast tumor tissues-non-tumor contralateral breast tissues",-0.198305728039662,0.784309865167051,-0.252841047711958,25,0.802458484329678,0.848494678287266,NA,0.58974358974359,0
"12","CONTAMINANT_ENSEMBL:ENSBTAP00000024146","adjacent breast tissues-primary breast tumor tissues",0.191794902244797,0.805470384798429,0.238115399230717,25,0.81373244913525,0.865408514856848,NA,0.615384615384615,0
"13","CONTAMINANT_ENSEMBL:ENSBTAP00000025008","axillary metastatic lymph nodes tissues-adjacent breast tissues",-0.0857476888734049,4.17575119367499,-0.0205346738577928,10,0.984020807772161,0.988220502618201,NA,0.8,0
"14","CONTAMINANT_ENSEMBL:ENSBTAP00000025008","non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.833333333333333,0
"15","CONTAMINANT_ENSEMBL:ENSBTAP00000025008","primary breast tumor tissues-non-tumor contralateral breast tissues",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.82051282051282,0
"16","CONTAMINANT_ENSEMBL:ENSBTAP00000025008","adjacent breast tissues-primary breast tumor tissues",-1.26402635360892,4.07511589452235,-0.310181694539778,10,0.762790723109497,0.822735498535741,NA,0.794871794871795,0
"17","CONTAMINANT_ENSEMBL:ENSBTAP00000031900","axillary metastatic lymph nodes tissues-adjacent breast tissues",0.379296499465571,0.387408766600728,0.979060186979411,46,0.332671515255067,0.435634488512521,NA,0.78,0.38
"18","CONTAMINANT_ENSEMBL:ENSBTAP00000031900","non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues",0.297607982692538,0.381990195313687,0.779098485625122,46,0.439911546231383,0.542043158659559,NA,0.66,0.36
"19","CONTAMINANT_ENSEMBL:ENSBTAP00000031900","primary breast tumor tissues-non-tumor contralateral breast tissues",-1.11811042047036,0.218280111607821,-5.12236507593162,46,5.82342054311624e-06,5.41324918312284e-05,NA,0.651282051282051,0.471794871794872
"20","CONTAMINANT_ENSEMBL:ENSBTAP00000031900","adjacent breast tissues-primary breast tumor tissues",0.441205938312248,0.227629633938183,1.93826230213974,46,0.0587424258322178,0.111221352042567,NA,0.743589743589744,0.487179487179487
"21","CONTAMINANT_ENSEMBL:ENSBTAP00000038253","axillary metastatic lymph nodes tissues-adjacent breast tissues",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.983333333333333,0.0166666666666667
"22","CONTAMINANT_ENSEMBL:ENSBTAP00000038253","non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.983333333333333,0.0166666666666667
"23","CONTAMINANT_ENSEMBL:ENSBTAP00000038253","primary breast tumor tissues-non-tumor contralateral breast tissues",0.423409154106383,0.598045964139314,0.707987645591319,3,0.530002205411472,0.626502713287429,NA,0.923076923076923,0.0512820512820513
"24","CONTAMINANT_ENSEMBL:ENSBTAP00000038253","adjacent breast tissues-primary breast tumor tissues",-0.976411168584753,0.598045964139314,-1.63266910427189,3,0.201043005208306,0.301468590348142,NA,0.923076923076923,0.0512820512820513
"25","CONTAMINANT_ENSEMBL:ENSP00000377550;sp|P13646-3|K1C13_HUMAN;sp|P13646|K1C13_HUMAN","axillary metastatic lymph nodes tissues-adjacent breast tissues",-0.806511294518861,0.775032554255161,-1.04061602327654,12,0.318566714168054,0.420766657443902,NA,0.8,0.0666666666666667
"26","CONTAMINANT_ENSEMBL:ENSP00000377550;sp|P13646-3|K1C13_HUMAN;sp|P13646|K1C13_HUMAN","non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues",0.115096304505864,0.837130836158737,0.137489027442826,12,0.89292425066051,0.923959353712265,NA,0.933333333333333,0.0666666666666667
"27","CONTAMINANT_ENSEMBL:ENSP00000377550;sp|P13646-3|K1C13_HUMAN;sp|P13646|K1C13_HUMAN","primary breast tumor tissues-non-tumor contralateral breast tissues",-0.0462540133641023,0.52944802836457,-0.0873627077372975,12,0.931824128323249,0.949891919749733,NA,0.897435897435897,0.102564102564103
"28","CONTAMINANT_ENSEMBL:ENSP00000377550;sp|P13646-3|K1C13_HUMAN;sp|P13646|K1C13_HUMAN","adjacent breast tissues-primary breast tumor tissues",0.7376690033771,0.424502812766398,1.73772465386003,12,0.107829121297208,0.183292010944903,NA,0.794871794871795,0.102564102564103
"29","CONTAMINANT_H-INV:HIT000015463","axillary metastatic lymph nodes tissues-adjacent breast tissues",0.740837709101606,3.57294737930042,0.207346381140005,6,0.842597589668344,0.889408566872141,NA,0.766666666666667,0
"30","CONTAMINANT_H-INV:HIT000015463","non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues",0.750596015258019,4.09447995583651,0.183319010803332,6,0.860585676607886,0.902143133828387,NA,0.833333333333333,0
"31","CONTAMINANT_H-INV:HIT000015463","primary breast tumor tissues-non-tumor contralateral breast tissues",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.923076923076923,0
"32","CONTAMINANT_H-INV:HIT000015463","adjacent breast tissues-primary breast tumor tissues",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.871794871794872,0
"33","CONTAMINANT_O76013;CONTAMINANT_sp|K1H6_HUMAN|;sp|O76013-2|KRT36_HUMAN;sp|O76013|KRT36_HUMAN","axillary metastatic lymph nodes tissues-adjacent breast tissues",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.7,0
"34","CONTAMINANT_O76013;CONTAMINANT_sp|K1H6_HUMAN|;sp|O76013-2|KRT36_HUMAN;sp|O76013|KRT36_HUMAN","non-tumor contralateral breast tissues-axillary metastatic lymph nodes tissues",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.7,0
"35","CONTAMINANT_O76013;CONTAMINANT_sp|K1H6_HUMAN|;sp|O76013-2|KRT36_HUMAN;sp|O76013|KRT36_HUMAN","primary breast tumor tissues-non-tumor contralateral breast tissues",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.846153846153846,0
"36","CONTAMINANT_O76013;CONTAMINANT_sp|K1H6_HUMAN|;sp|O76013-2|KRT36_HUMAN;sp|O76013|KRT36_HUMAN","adjacent breast tissues-primary breast tumor tissues",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.846153846153846,0
